DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1038/ncb2164,Mus musculus,Fibroblasts,Induced Cardiomyocytes,21,"JAK inhibitor I,137226770;JAK inhibitor I,5494425","Reprogramming media: knockout DMEM with 1–15% knockout serum replacement, 1–15% ES cell-qualified FBS, 1% Glutamax, 1% nonessential amino acids, 0.1 mM β-mercaptoethanol and 1% ESC-qualified nucleosides (all components from Invitrogen except nucleosides, which were from Millipore).
Chemically defined media (CDM): RPMI-1640 supplemented with 0.5 × N2, 1 × B27 (without vitamin A), 0.05% BSA (bovine serum albumin) fraction V, 0.5% Glutamax and 0.1 mM β-mercaptoethanol (all components from Invitrogen). BMP4 or JAK inhibitor 1 were added at the day 11.
Fresh media was added at least once every 48 h throughout all experiments. ",BMP,"All MEFs (129S2/SValproic AcidsCrlf) were derived according to WiCell protocols (https://www.wicell.org/index.php?option=com_docman&task=doc_download&gid=687). TTFs (tail-tip fibroblasts) were a gift from H. Schöler (Max Planck Institute for Biomolecular Medicine, Germany). 
MEFs were initially passaged on gelatin-coated (0.1%) tissue-culture dishes for 2 h at 37 °C in DMEM supplemented with 10% FBS, 2 mM Glutamax and 0.1 mM NEAA (non-essential amino acids; all components from Invitrogen). Before viral transduction, cells were seeded onto Matrigel (BD Biosciences) or Geltrex (Invitrogen)-coated plates (1:40, overnight at 4 °C) at 3.5 × 104 cells per well of a six-well plate (7 × 104 cells for TTFs) in the same media. After the addition of virus (12–24 h), cells were washed with PBS and switched to reprogramming media.",JAK inhibitor;JAK inhibitor,Oct4;Sox2;Klf4;c-Myc,Conversion of mouse fibroblasts into cardiomyocytes using a direct reprogramming strategy,_,39,"cTnT+ (Remarkably, nearly 40% (39 ± 2%, n = 5) of cells had become cTnT+ by day 18)",2,"After several rounds of experimentation employing many different combinations, we determined the following conditions to be by far the most effective: cells are first exposed to reprogramming media containing 15% FBS and 5% knockout serum replacer (KSR) for 6 days, followed by a switch to 1% FBS and 14% KSR for 3 days. During this initial 9-day period, the small-molecule JAK inhibitor JI1 is continuously kept in the media at a concentration of 0.5 μM. From day 9 onwards, the cells are cultured in CDM, with the cardioinductive growth factor BMP4 added at 20 ng ml−1 for the first 5 days.
Spontaneously contracting: https://static-content.springer.com/esm/art%3A10.1038%2Fncb2164/MediaObjects/41556_2011_BFncb2164_MOESM4_ESM.mov",Sheng Ding;Ju Chen;Gang Wang;Kunfu Ouyang;Hongyan Zhou;Hongyan Zhou;Janghwan Kim;Simon Hilcove;Jem A. Efe,_
10.1038/ncomms9243,Mus musculus,Fibroblasts,Induced Cardiomyocytes,30,"A83-01,16218924;Y-27632,448042;GW788388,10202642;LY-364947,447966;SD-208,10316032;Thiazovivin,46209426;SR-3677,25093235","Fibroblasts were plated on tissue culture dishes pre-coated with SureCoat (Cellutron) at a density of 40–50 cells mm  2 before transduction. Fibroblasts were infected twice with freshly made viral mixture containing polybrene (Sigma) 24 h, 48 h post plating, respectively. Twenty-four hours later, the viral medium was replaced with induction medium composed of DMEM/199 (4:1)
(Gibco), 10% FBS (Gemini), 5% horse serum (Gemini), antibiotics (Gibco), 1 non-essential amino acids (Gibco), 1  essential amino acids (Gibco), 1  B-27 (Gibco), 1  insulin–selenium–transferin (Gibco), 1  MEM vitamin solution (Gibco) and 1  sodium pyruvate (Gibco). The medium was changed every 2–3 days until cells were examined.",_,"MEFs: C57BL/6 pregnant mice at E13 were purchased from Charles River’s laboratory. Embryos at E14.5 were harvested and their internal organs and head were removed. The body below the liver was minced to fine pieces. Minced embryos were incubated with 2 ml of 0.25% trypsin/1 mM EDTA, Phenol Red (Gibco) for 40 min at 37 C with 5% CO2. Cells were suspended in 25 ml of
growth medium (DMEM/Hi glucose (Hyclone) 10% fetal bovine serum (FBS; Gemini), 1.1% Penicillin–Streptomycin (Gibco) and 1.1% GlutaMAX supplement (Gibco) and then plated on a 15-cm dish. In 24 h, the media were aspirated and new 25 ml of growth medium was added. In 72 h, MEFs were harvested and stored for future use.

Adult Cardiac Fibroblasts (ACFs): Hearts for mouse ACFs or skinned tails for ATTFs (adult tail-tip fibroblasts) from adult C57BL/6 mice were cut into small pieces with B1 mm diameter. The biopsies were seeded on a 10-cm culture dish and incubated with 10 ml of growth medium (DMEM/Hi glucose (Hyclone), 10% FBS (Gemini), 1.1% Penicillin–Streptomycin (Gibco) and 1.1% GlutaMAX supplement (Gibco) at 37 C with 5% CO2. Fibroblasts migrated out of the biopsies after 3 days. The media were changed every other day. Once the fibroblasts have reached a 70–80% confluence, the cells were harvested and stored for future useHearts for mouse ACFs or skinned tails for ATTFs from adult C57BL/6 mice were cut into small pieces with B1 mm diameter. The biopsies were seeded on a 10-cm culture dish and incubated with 10 ml of growth medium (DMEM/Hi glucose (Hyclone), 10% FBS (Gemini), 1.1% Penicillin–Streptomycin (Gibco) and 1.1% GlutaMAX supplement (Gibco) at 37 C with 5% CO2. Fibroblasts migrated out of the biopsies after 3 days. The media were changed every other day. Once the fibroblasts have reached a 70–80% confluence, the cells were harvested and stored for future use","Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Inhibitor of ROCK1 and ROCK2;Inhibitor of Transforming Growth Factor Beta Signaling;TGF-b signalling inhibitor;Inhibitor of the TGF-b signalling;Inhibitor of the RHO/ROCK pathway;Inhibitor of the ROCK-II",Gata4;Hand2;Mef2c;Tbx5;miR-1;miR-133,High-efficiency reprogramming of fibroblasts into cardiomyocytes requires suppression of pro-fibrotic signalling,GSE71405;GSE71392,2.5,Percent of beating cardiomyocytes on day 11 (MEFs);GHMT2m plus A83-01 produced  2.5% spontaneously beating cells by 5 weeks,2,"Addition of A83-01 and Y-27632 together produced  69% spontaneously beating cells in GHMT2m cultures, which is not significantly different from the fraction of beating cells induced by A83-01 alone (GHMT2m -- miR-1 miR-133 (2m) + GHMT(GATA4, Hand2, Mef2C, Tbx5))",Kunhua Song;Timothy A. McKinsey;Peter M. Buttrick;Lori A. Walker;Mark Y. Jeong;Kenneth L. Jones;Rebecca O’Rourke;Catherine Proenza;Emily J. Sharpe;Yingqiong Cao;Pilar Londono;Yuanbiao Zhao,_
10.1016/j.celrep.2014.01.038,Mus musculus,Fibroblasts,Induced Cardiomyocytes,30,"SB431542,4521392;CHIR99021,9956119;Parnate,19493;Forskolin,47936","Cardiac reprogramming media (CRM): knockout DMEM with 5% knockout serum replacement, 15% ES cell-qualified FBS, 1% Glutamax, 1% nonessential amino acids, and 0.1 mM β-mercaptoethanol, with or without small molecules.",_,"MEFs (mouse embryonic fibroblasts) and TTFs (tail-tip fibroblasts) were prepared from C57B6 and OG2 mice (JAX) using established methods (doi:10.1038/ncb2164) . Isl1-Cre/ROSAmTmG embryos were obtained by crossing Isl-Cre mice with ROSAmTmG mice (JAX) (10.1002/dvg.20335;10.1186/1471-213X-1-4). Briefly, MEFs were isolated from E13.5 mouse embryos. The head, internal organs from the abdominal cavity, and heart regions were carefully removed from the embryos, and the tissues left were cut and trypsinized to produce single-cell suspensions. Those cells were expanded in MEF growth medium (MEF-GM) containing DMEM supplemented with 10% FBS, 2 mM Glutamax and 0.1 mM non-essential amino acids (NEAA). To generate TTFs, tail tips from neonatal mice were minced with a sterile razor blade and then evenly put into 10cm culture dish containing 2ml MEF-GM. Next day, additional medium was filled in. Five days later, fibroblasts migrated outof tissue samples were collected and expanded.",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of GSK3β;Inhibitor of lysine-specific demethylase 1 (LSD1);CAMP agonist,Oct4;Klf4;Sox2,"Small Molecules Enable Cardiac Reprogramming of Mouse Fibroblasts with a Single Factor, Oct4",_,40,"Number of beating clusters per 10^4 MEFs, not Percent",2,_,Sheng Ding;Deepak Srivastava;Xiaojing Wang;Yu Zhang;Tao Xu;Tianhua Ma;Baoming Nie;C. Ian Spencer;Nan Cao;Haixia Wang,_
10.1016/j.bbrc.2015.05.127,Mus musculus,Fibroblasts,Induced Cardiomyocytes,25,"Cardiogenol C,11345983;Vitamin C,54670067","Reprograming medium (RM): knockout DMEM (Invitrogen) with 5% knockout serum replace-ment (KSR, Invitrogen), 15% ES-FBS (Invitrogen), 1% Glutamax(Invitrogen), 1% nonessential amino acids (Invitrogen), 0.1 mMb-mercaptoethanol (Sigma), and 0.5mM JAK inhibitor (JI1, EMD). Forthose experiments carried out through the lentiviral induciblesystem, 5mg/ml doxycycline (SigmaeAldrich) was applied for thefirst 5 days.

Differentiation priming medium (DPM): knockout DMEM (Invitrogen) with 1% FBS, 14% KSR, 1% Glutamax, 1% nonessential amino acids, 0.1 mMb-mercaptoethanol and 0.5mM JI1.

Cardiomyocyte differentiation medium (CDM):RPMI-1640 supplemented with 0.5*N2, 1*B27(without vitamin A) (Invitrogen), 0.05% BSA-fraction V (Sigma),0.5% Glutamax, 0.1 mMb-mercaptoethanol, and 20 ng/ml BMP4(Stemgent).",BMP4,,Inducer of cardiac differentiation;_,Oct4;Sox2;Klf4;c-Myc,2-phospho-L-ascorbic acid promotes the direct conversion of mousefibroblasts intobeating cardiomyocytes,_,60,Percent of Beating Patches,2,_,Hossein Baharvand;Nasser Aghdami;Sara Pahlavan;Mahmood Talkhabi,_
10.1038/srep44534,Homo sapiens,Fibroblasts,Induced Mesenchymal Stem Cells,6,"SP600125,8515;SB202190,5169;GO6983,3499;Y-27632,448042;PD0325901,9826528;CHIR99021,9956119",DMEM-HG,TGF-β;bFGF;LIF,"Human primary neonatal foreskin fibroblasts (CRL2097) started from passage 4 after isolation were purchased from the ATCC (Manassas, VA, USA) and cultured in Dulbecco’s Modified Eagle Media-high glucose (DMEM-HG) medium with 10% fetal bovine serum (FBS) (HyClone, Logan, UT, USA). Primary adult abdominal skin fibroblasts derived from two adult females (DF440547 and DF443480) who are 42 and 56 years old, respectively (LONZA, Basel, Switzerland). These cells were cultured in DMEM-HG with 10% FBS and started in culture from passage 1.",Inhibitor of JNK;Inhibitor of the p38;Inhibitor of protein kinase C;Inhibitor of ROCK1 and ROCK2;Inhibitor of MEK/ERK pathway;Inhibitor of GSK3β,_,Efficient Generation of Chemically Induced Mesenchymal Stem Cells from Human Dermal Fibroblasts,GSE72693,38,"Percent of cells that fulfill three criteria, including (1) being plastic-adherent when maintained in standard culture conditions, (2) expressing CD105, CD73 and CD90 surface markers, and not expressing CD45, CD34, CD14/CD11b, CD79a/CD19 and HLA-DR surface molecules, and (3) able to differentiate into
osteoblasts, adipocytes, and chondrocytes in vitro5",1,_,Jean Lu;Hsiao-Chun Huang;Yu-Chuan Liu;Yi-Hsuan Lee;Frank Leigh Lu;Hsiang-Yi Chang;Ching-FangChang;Kuo-Hsuan Hung;Shang-ChihYang;Shang-FuChen;Hsuan Lin;Pei-Lun Lai,_
10.1016/j.stem.2015.06.003,Mus musculus,Fibroblasts,Induced Neurons,21,"Forskolin,47936;ISX9,19582717;CHIR99021,9956119;SB431542,4521392;I-BET151,52912189","Neuronal induction medium: Neurobasal Medium, N2
and B27 supplements, GlutaMAX, penicillin-streptomycin (all from Life technologies), and bFGF (100–250 ng/ml; Origene). 
Culture medium: neuronal induction medium + the small molecules. Refreshed every 3–4 days during the chemical induction period.
Maturation medium: the neuronal induction medium plus Forskolin, 10 mM; BDNF, 20 ng/ml; and GDNF, 20 ng/ml",BDNF;GDNF,"The passaged fibroblasts were seeded onto a Matrigel-coated plate (BD; 1:30 in pre-cold PBS) and were not chemically induced until confluent (preferentially seeded at a
density of 100,000 cells per well of a 6-well plate and induced after 4 days’culture). ",CAMP agonist;Neurogenic Modulator;Inhibitor of GSK3β;Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of the BET family,_,Small-Molecule-Driven Direct Reprogramming of Mouse Fibroblasts into Functional Neurons,GSE68715,30,Percent of TUJ1-positive neuronal cells,1,_,Hongkui Deng;Yang Zhao;Zhen Chai;Jinlin Wang;Xiong Xiao;Jun Xu;Yuanyuan Du;Liang Xiong;Xiaomin Du;Jialiang Zhu;Defang Liu;Jiaming Wang;Yantao Ma;Junzhan Jing;Xiaohan Zuo;Xiang Li,_
10.1016/j.stem.2015.09.012,Homo sapiens,Astrocytes,Induced Neurons,10,"LDN193189,25195294;SB431542,4521392;TTNPB,5289501;Thiazovivin,46209426;CHIR99021,9956119;Valproic Acid,3121;DAPT,5311272;SAG,5284330;Purmorphamine,5284329","Neuronal Differentiation Medium (NDM): DMEM/F12 (GIBCO), 0.5% FBS (GIBCO), 3.5 mM glucose (Sigma), penicillin/streptomycin (GIBCO), and N2 supplement (GIBCO)",BDNF;IGF-1;NT3,"Human astrocytes were purchased from ScienCell (HA1800) or GIBCO (N7805-100). Human astrocytes were primary cultures obtained from human fetal brain tissue. They were isolated and maintained in the presence of 10% FBS, which will essentially cause any progenitor cells to differentiate. Human astrocytes were subcultured when they were over 90% confluent. For subculture, cells were trypsinized by TrypLE Select (Invitrogen), centrifuged for 5 min at 900 rpm, re-suspended, and plated in a culture medium consisting of DMEM/F12 (GIBCO), 10% FBS (GIBCO), penicillin/streptomycin (GIBCO), and
3.5 mM glucose (Sigma), supplemented with B27 (GIBCO), 10 ng/ml epidermal growth factor (EGF, Invitrogen), and 10 ng/ml fibroblast growth factor 2 (FGF2, Invitrogen). Cells were maintained at 37C in humidified air with 5% CO2",Inhibitor of TGF-beta/Smad signaling;Inhibitor of the Activin/BMP/TGF-β pathway;Agonist of a retinoic acid receptor;Inhibitor of the RHO/ROCK pathway;Inhibitor of GSK3β;Inhibitor of histone deacetylase;Inhibitor of γ-secretase;Agonist of the Smoothened;Agonist of hedgehog,_,Small Molecules Efficiently Reprogram Human Astroglial Cells into Functional Neurons,_,67,Percent of Tuj1+ cells,1,_,Gong Chen;Gang-Yi Wu;Peng Jin;Li Chen;Li Lin;Yanming Wang;Xiangyun Amy Chen;Grace Lee;Ning-Xin Ma;Hana Yeh;Jiu-Chao Yin;Lei Zhang,_
10.1016/j.stemcr.2017.01.014,Homo sapiens,Astrocytes,Induced Neurons,26,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;I-BET151,52912189;ISX9,19582717","Neurobasal medium (Gibco). 
Astrocyte growth medium (CellApplications, 821-500)",_,Human adult astrocytes were obtained with written consent from the patients or their guardians as approved by the ethics committees of the Third Military Medical University. The cells were maintained and expanded in human astrocyte growth medium,Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of the BET family;Neurogenic Modulator,_,Direct Generation of Human Neuronal Cells From Adult Astrocytes by Small Molecules,GSE84826,8,"Percent, Conversion efficiency",1,_,Gang Pei;Li Shen;Xiuwu Bian;Yifang Ping;Yongchun Yu;Binlong Qiu;Qing Liu;Jiali Yu;Huihan Wang;Min Wang;Wuqiang Guan;Longfei Gao,_
10.1038/s41598-017-18324-8,Mus musculus,Fibroblasts,Induced Dopaminergic Neurons,19,"ISX9,19582717;SB203580,176155;Y-27632,448042;I-BET151,52912189","Neuronal induction medium: Neurobasal Medium, N2, and B27 supplements, GlutaMAX, 1% of penicillin-streptomycin (all from Life technologies), and bFGF (100 ng/mL) (refreshed every 3–4 days during the induction period).",bFGF;FGF8,Mouse Fibroblasts were trypsinized into single cells and cultured in six-well plates. ,Neurogenic Modulator;Inhibitor of the MAP kinase;Inhibitor of ROCK1 and ROCK2;Inhibitor of the BET family,Ascl1;Brn2;Myt1l,Generation of Functional Dopaminergic Neurons from Reprogramming Fibroblasts by Nonviral-based Mesoporous Silica Nanoparticles,_,81,Percent of Tuj1+ cells,2,This study utilized the mesoporous silica nanoparticles (MSNs) as a non-viral delivery system,Yuan Mou;Hwa Chiou;Ting Wei;Yi Wang;Hsing Tsai;Hsuan Chang,_
10.3164/jcbn.15-39,Homo sapiens,Fibroblasts,Induced Neurons,28,"SB431542,4521392;LDN193189,25195294;CHIR99021,9956119;PD0325901,9826528;Pifithrin-α,4587369;Forskolin,47936","Neuronal medium: DMEM/F12 [1% (vol/vol) N2 supplement, Gibco] and Neurobasal [2% (vol/vol) B27 supplement, Gibco] mixed at a 1:1 ratio",_,"Four human primary fibroblasts were purchased via DS Pharma Medical (Osaka, Japan. Lot: DFMF112410B,DFM062509,DFM1002511,DFM021610). Cells were seeded at 8 × 10 4 cells in a 35-mm dish in DMEM high-glucose medium (Gibco, Grand Island, NY) supplemented with 10% FBS, 100 U/ml penicillin, and 100 μg/ml streptomycin",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of TGF-beta/Smad signaling;Inhibitor of GSK3β;Inhibitor of MEK/ERK pathway;Inhibitor of the p53;CAMP agonist,_,Highly efficient direct conversion of human fibroblasts to neuronal cells by chemical compounds,_,89,Percent of Tuj1+ cells,1,_,Tetsuro Takamatsu;Yoshinori Harada;Ping Dai,_
10.1016/j.celrep.2016.06.042,Mus musculus,Fibroblasts,Induced Astrocytes,26,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Tranylcypromine,19493;OAC1,789882","Induced astrocyte medium (iAM): DMEM/F12 with 2 mM L-glutamine, 0.1 mM NEAA, 13N2, 13B27, and 100 ng/ml FGF",FGF;CNTF,"Mouse embryonic fibroblasts (MEFs) and mouse tail-tip fibro-blasts (TTFs) were derived from embryonic day 13.5 (E13.5) embryos of Oct4-GFP transgenic, WT, or GFAP-GFP transgenic mice. These cells were cultured in MEF medium containing DMEM, 10% fetal bovine serum (FBS), 0.1 mM nonessential amino acids, and 2 mM L-glutamine. Mouse pAs were isolated from postnatal day 1 (P1)–2 pups following published protocol and cultured in DMEM containing 10% FBS.",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of lysine-specific demethylase 1 (LSD1);Epigenetic modulator,_,Small-Molecule-Based Lineage Reprogramming Creates Functional Astrocytes,GSE81927,12,Percent of GFAP+S100b+ cells,1,Replacement of RepSox with SB431542 increased % of GFAP+ cells to 38,Yanhong Shi;Arthur D;Charles Warden;Peng Ye;Jianfei Chao;Guihua Sun;Guoqiang Sun;E Tian,_
10.1016/j.stem.2014.01.006,Mus musculus,Fibroblasts,Induced Pancreatic beta cells,27,"Retinoic acid,444795;A83-01,16218924;LDE225,24775005;BIX01294,25150857;Vitamin C,91899426","Med I: (Knock-out DMEM with 10% knock-out serum replacer, 5% FBS, 2 mM Glutamax, 0.1 mM NEAA, and 0.055 mM β-mercaptoethanol) supplemented with 4 μg/ml Dox, 50 ng/ml Activin A and 1 mM LiCl.
Med II: (75% Iscove’s modified Dulbecco’s medium, 25% Ham’s F12 medium, supplemented with 1 x N2 supplements, 0.05% bovine serum albumin, 2 mM Glutamax, and 0.45 mM MTG) supplemented with 50 ng/ml Activin A and 1 mM LiCl.
Med III: (DMEM supplemented with 1xB27, 2mM Glutamax), and treated with 2 μM RA, 1 μM A83-01, 2 μM LDE225 and 280μM pVc for 1day, and then with 1 μM A83-01, 2 μM LDE225 and 280μM pVc for another 3 days.
Med IV: contains laminin, nicotinamide, and B27 etc., as described (DOI: 10.1055/s-0035-1554720)",FGF10;EGF,Dox-inducible secondary MEFs (cells at passage 3–4 were regularly used) were plated on Matrigel-coated culture dishes at a cell density of 1 x 10^4 cells/cm2. Cells were cultured in MEF medium (Dullbecco’s modified Eagle’s medium with 10% fetal bovine serum and 2 mM Glutamax) for an additional day.,"Agonist of a retinoic acid receptor;Inhibitor of ALK4, ALK7 (activin receptor-like kinases);_;Inhibitor of the G9a histone methyltransferase;_",Oct4;Sox2;Klf4;c-Myc,Small Molecules Facilitate the Reprogramming of Mouse Fibroblasts into Pancreatic Lineages,_,2,Percent of insulin+/Pdx1+ cells,2,"Complex multistage protocol (MEF > definitive endoderm-like cells (DELCs) > pancreatic progenitor-like cells (PPLCs) > Mature Pancreatic-like Cells, Figure 1A represents protocol stages)",Sheng Ding;Matthias Hebrok;Tianhua Ma;Yu Zhang;Tao Xu;Shaohua Xu;Holger A;Saiyong Zhu,_
10.1016/j.chembiol.2013.10.013,Homo sapiens,PANC-1 Ductal Adenocarcinoma Cells,Induced Pancreatic Beta Cells,,"BRD7552,23891512 ",_,_,PANC-1 cells were plated and allowed to attach overnight before the compound pin-transferred from concentrated DMSO stocks at a final concentration of 20 mM. Cells were treated with the compound for 3 days before the qPCR assay.,Increase PDX1 promoter methylation at H3K4me3 (mark of active chromatin) and decrease H3K9me3 methylation (repressive mark),_,A Small-Molecule Inducer of PDX1 Expression Identified by High-Throughput Screening,_,4,Fold change of PDX1 expression level (PDX1 is the master regulatory gene involved in beta-cell development),1,High-Throughput Screening,Bridget Wagner;Stuart Schreiber;Etienne Sokal;Nicola Tolliday;Young-kwon Kim;Damian Young;Cheng Zhong;Philippe Lysy;Deepika Walpita;Yikai Wang;Zarko Boskovic;Kate Hartland;Yuan Yuan,_
10.1038/ncomms10080,Homo sapiens,Fibroblasts,Induced Pancreatic Beta Cells,32,"Sodium butyrate,5222465;Parnate,19493;RG108,702558;NECA,4400;CHIR99021,9956119;A83-01,16218924;Compound E,222786;GDC-0449,24776445;LDN193189,25195294;Nicotinamide,936;NECA,448222","Reprogramming initiation medium: DMEM/F12, 10% Knockout serum replacement, 5% ES-FBS, 1% Glutamax, 1% Non-essential amino acids, 1% penicillin/streptomycin, 0.1 mM
b-mercaptoethanol, 10 ng ml  1 bFGF, 10 ng ml  1 EGF, 2 mM Par, 0.5 mM RG, 0.1 mM NaB, 0.5 mM NECA and 3 mM CHIR99021.
Endodermal induction medium: Advanced RPMI, 2% ES-FBS, 1% Glutamax, 1% Non-essential amino acids, 1% penicillin/streptomycin, 0.1 mM b-mercaptoethanol, 2 mM Par, 0.5 mM RG, 0.1 mM NaB, 0.5 mM NECA, 3 mM CHIR99021 and 100 ng ml  1 Activin A.
Expansion medium: DMEM, 1% Glutamax, 0.5  N2, 0.5  B27, 5 mg ml  1 BSA, 1% penicillin/streptomycin, 10 ng ml  1 bFGF, 10 ng ml  1 EGF, 0.5 mM A83-01 and 3 mM CHIR99021.",EGF;bFGF;FGF7;FGF10,"Human foreskin fibroblasts (CRL-2097, ATCC) and adult human dermal fibroblasts (Cell Applications) were cultured in a 10-cm tissue-culture dish in regular fibroblast culture medium.","Inhibitor of histone deacetylase;Inhibitor of lysine-specific demethylase 1 (LSD1);Inhibitor of the DNA methyltransferase;Agonist of the cAMP;Inhibitor of GSK3β;Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Inhibitor of the Notch signaling;Inhibitor of the sonic hedgehog;Inhibitor of TGF-beta/Smad signaling;_;Agonist of the cAMP",Oct4;SOX2;KLF4;short hairpin RNA against p53,Human pancreatic beta-like cells converted from fibroblasts,_,17.3,"Percent of PDX1 and NKX6.1 double-positive cells. Glucose-stimulated insulin secretion (GSIS) assays demonstrated that in vitro-generated cPB cells released insulin in response to physiological levels of glucose (n=7, fold increase 2.0 ± 0.4) The stimulation index, as calculated by the ratio of insulin secreted in high glucose to low glucose, was similar among the cPB cells, hESC-derived beta-like cells and primary human islets.",2,Fibroblasts -> Converted definitive endodermal progenitor (cDE) cells -> PDX1 and NKX6.1 double-positive pancreatic progenitors > Pancreatic beta-like cells,Sheng Ding;Matthias Hebrok;Shibing Tang;Tao Xu;Tianhua Ma;Mingliang Zhang;Xiaojing Wang;Holger A;Saiyong Zhu,_
10.1016/j.bbrc.2009.11.054,Homo sapiens,PANC-1 Ductal Cells,Induced Pancreatic Beta Cells,7,"5-Aza-2'-deoxycytidine,451668",PANC-1 cells were cultured for 3 days in the presence of 10 nmol/l of TSA or 1 l mol/l of AZA then 2 days in normal media.,_,"PANC-1 human ductal cell line was purchased from ATCC and cultured in Dulbecco’s modified Eagle’s medium Glutamax-1, high glucose (Invitrogen) supplemented with 10% fetal calfserum (PAA laboratories Gmbh) plus 100 U of penicillin and 100 ug of streptomycin per ml (Invitrogen).",Inhibitor of DNA methylation,_,5'-AZA induces Ngn3 expression and endocrine differentiation in the PANC-1 human ductal cell line,_,2.5,Relative PDX1 expression,1,_,Julie Kerr; François Pattou;Valery Gmyr;Jose Oberholzer;Brigitte Vandewalle;Justine Longue;Sandrine Belaich;Bruno Lefebvre,_
10.1016/j.cell.2015.11.017,Mus musculus,Fibroblasts,Induced Pluripotent Stem Cells,40,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Tranylcypromine,19493;Forskolin,47936;DZNep,73087;EPZ004777,56962336;5-Aza-2'-deoxycytidine,451668;AM580,2126;SGC0946,56962337","Stage 1 medium: 100 ng/ml bFGF, 0.5 mM Valproic Acid, 20 mM CHIR99021, 10 mM 616452, 5 mM Tranylcypromine, 50 mM Forskolin, 0.05 mM AM580 and 5 mM EPZ004777.
Stage 2 medium: 25 ng/ml bFGF, 0.5 mM Valproic Acid, 10 mM CHIR99021, 10 mM 616452, 5 mM Tranylcypromine, 10 mM Forskolin, 0.05 mM AM580, 0.05 mM DZNep,
0.5 mM 5-Aza-2'-deoxycytidine, and 5 mM SGC0946). On day 28, the culture was transferred into stage 3 medium (N2B27-2iL medium with 3 mM CHIR99021, 1 mM
PD0325901, and 1,000 U/ml LIF). After another 8–12 days, 2i-competent, ESC-like, and GFP-positive (if using pOct4-GFP reporter).",,,Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of lysine-specific demethylase 1 (LSD1);CAMP agonist;Inhibitot of histone EZH2 lysine methyltransferase;Inhibitor of H3K79 histone methyltransferase DOT1L;Inhibitor of DNA methylation;Agonist of the retinoic acid receptor;Inhibitor of the DOT1L methyltransferase,_,A XEN-like State Bridges Somatic Cells to Pluripotency during Chemical Reprogramming,GSE73631,_,"Using this new protocol, a well of 50,000 initial fibroblasts was induced, and the cells were expanded to >1,000,000 or more re-plated cells (re-plated into 10–15 wells). A total of 1,000–9,000 CiPSC colonies were obtained at the en",1,_,Hongkui Deng;Weifeng Yang;Linlin Su;Ting Wang;Chaoran Zhao;Yaqin Du;Lin Cheng;Susu Yang;Jian Ge;Gaofan Meng;Jialiang Zhu;Junqing Ye;Yao Fu;Xu Zhang;Jingyang Guan;Ting Zhao;Yang Zhao,_
10.1073/pnas.1010018107,Mus musculus,Alpha Cell,Induced Pancreatic Beta Cells,5,"BRD7389,1080352",_,_,"Mouse pancreatic cell lines αTC1 and βTC3 were grown in low-glucose DMEM supplemented with 10% FBS, 50 U/mL penicillin, and 50 μg/mL streptomycin.","Inhibitor of the RSK1, and RSK3",_,Small-molecule inducers of insulin expression in pancreatic α-cells,_,_,"5-d treatment with BRD7389 resulted in greater induction of insulin gene expression, about 50-fold at 0.85 μM",1,High-Content Screening,Stuart Schreiber;Bridget Wagner;Paul Clemons;Alykhan Shamji;Tanaz Sharifnia;Joshua A;Jacob Hecksher;Vlado Dancik;Deepika Walpita;Stefan Kubicek;Dina Fomina,_
