cid,link,name,Synonyms,MOA
2662,https://pubchem.ncbi.nlm.nih.gov/compound/2662,Celecoxib,"celecoxib;169590-42-5;Celebrex;Celebra;Onsenal;Celocoxib;Celecox;SC 58635;SC-58635;4-[5-(4-METHYLPHENYL)-3-(TRIFLUOROMETHYL)-1H-PYRAZOL-1-YL]BENZENESULFONAMIDE;YM177;4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide;YM 177;184007-95-2;HSDB 7038;UNII-JCX84Q7J1L;p-(5-p-Tolyl-3-(trifluoromethyl)pyrazol-1-yl)benzenesulfonamide;SC58635;C17H14F3N3O2S;4-(5-(4-Methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide;4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]benzene-1-sulfonamide;MFCD00941298;YM-177;CHEMBL118;JCX84Q7J1L;CHEBI:41423;RZEKVGVHFLEQIL-UHFFFAOYSA-N;NCGC00091455-01;Xilebao;DSSTox_CID_2777;4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]-benzenesulfonamide;benzenesulfonamide, 4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]-;DSSTox_RID_76725;DSSTox_GSID_22777;Celecoxib [USAN];Celecoxi;Solexa;Benzenesulfonamide, 4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)-;Celebrex (TN);SMR000550473;CAS-169590-42-5;SR-01000837528;Celecoxib (SC-58635);Celecoxibum;Celecoxib [USAN:INN:BAN];CCRIS 9330;TPI-336;Onsenal (TN);AI-525;CEP-33222;CELEBCOXIB;Spectrum_000432;1oq5;Spectrum2_001576;Spectrum3_001996;Spectrum4_000182;Spectrum5_001324;SC-58553, SC-58635;Celecoxib/Celebrex, Celebra;cid_2662;SCHEMBL3708;Celecoxib (JAN/USP/INN);DFN15;BSPBio_003596;KBioGR_000723;KBioGR_002351;KBioSS_000912;KBioSS_002354;cc-518;MLS001165684;MLS001195656;MLS001304708;MLS006011862;BIDD:GT0408;DivK1c_000893;SPECTRUM1503678;SPBio_001512;DFN-15;GTPL2892;Celecoxib, >=98% (HPLC);DTXSID0022777;BDBM11639;CTK8H4475;HMS502M15;KBio1_000893;KBio2_000912;KBio2_002351;KBio2_003480;KBio2_004919;KBio2_006048;KBio2_007487;KBio3_002830;KBio3_003037;EX-A175;SYN3015;cMAP_000027;NINDS_000893;BCPP000290;HMS1922G14;HMS2089L18;HMS2093I07;HMS2234N18;HMS3259L08;HMS3261A14;HMS3373A09;HMS3654H09;HMS3715F11;HMS3867I03;Pharmakon1600-01503678;ACT02648;BCP02156;EBD24636;KS-00000FW2;ZINC2570895;Tox21_111135;Tox21_201964;Tox21_300599;Tox21_500406;US8741944, Comparative Compound;4-[5-(p-tolyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide;ABP000291;BBL029086;CCG-39354;NSC719627;NSC758624;s1261;STL373576;Celecoxib 1.0 mg/ml in Acetonitrile;4-(5-(p-tolyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide;4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1Hpyrazol-1-yl] benzenesulfonamide;AKOS015842517;Tox21_111135_1;AC-4228;AM84588;AT-3762;BCP9000507;CS-0570;DB00482;KS-1041;MCULE-4750749400;NC00708;NSC-719627;NSC-758624;SB19318;Benzenesulfonamide,4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl);IDI1_000893;NCGC00091455-02;NCGC00091455-03;NCGC00091455-04;NCGC00091455-05;NCGC00091455-06;NCGC00091455-07;NCGC00091455-08;NCGC00091455-09;NCGC00091455-13;NCGC00254540-01;NCGC00259513-01;NCGC00261091-01;194044-54-7;AK-60967;BP-30217;HY-14398;LS-31667;NCI60_041049;PHA-00846533;SC-50829;SY064976;SBI-0051875.P002;AB0012055;CJ-016377;CP-598107;UNM-0000305813;FT-0601628;FT-0623536;FT-0700357;SW199611-3;PF-00345549;A25046;C-6317;C07589;D00567;J10035;AB00052396-07;AB00052396-08;AB00052396-09;AB00052396_10;AB00052396_11;590C425;Q408801;J-010566;J-520011;Q-200816;SR-01000837528-2;SR-01000837528-3;BRD-K02637541-001-02-4;BRD-K02637541-001-06-5;Z2210694606;Celecoxib, European Pharmacopoeia (EP) Reference Standard;Celecoxib, United States Pharmacopeia (USP) Reference Standard;4-[5-(p-Tolyl)-3-(trifluoromethyl)-1-pyrazolyl]benzenesulfonamide;4-[5-(4-Methylphenyl)-3-(trifluoromethyl)-pyrazol-1-yl]benzenesulfonamide;4-[5-(4-Methylphenyl)-3-trifluoromethyl)-1H-pyrazol-yl]benzenesulfonamide;5-(4-Methylphenyl)-1-(4-sulfamoylphenyl)-3-(trifluoromethyl)pyrazole;Celecoxib, Pharmaceutical Secondary Standard; Certified Reference Material;4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyazol-1-yl]benezenesulfonamide;Benzenesulfonamide,4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]-",Inhibitor of cyclooxygenase [COX] 2
6184667,https://pubchem.ncbi.nlm.nih.gov/compound/6184667,Ch 55,,Agonist of retinoid acid receptor (RAR)
161591,https://pubchem.ncbi.nlm.nih.gov/compound/161591,Chaetocin,,_
2700,https://pubchem.ncbi.nlm.nih.gov/compound/2700,Chaulmoogric Acid Ethyl Ester,,Agonist of the GPR40
2693,https://pubchem.ncbi.nlm.nih.gov/compound/2693,Chetomin,,Inhibitor of the hypoxia inducible factors
135399748,https://pubchem.ncbi.nlm.nih.gov/compound/135399748,CHIR124,,Inhibitor of the checkpoint kinase 1 (CHK1)
53396311,https://pubchem.ncbi.nlm.nih.gov/compound/53396311,CHIR98014,"CHIR-98014;252935-94-7;CHIR98014;CT-98014;CHEMBL3185148;6-N-[2-[[4-(2,4-dichlorophenyl)-5-imidazol-1-ylpyrimidin-2-yl]amino]ethyl]-3-nitropyridine-2,6-diamine;cc-83;GTPL8016;Chir98014, 20;SCHEMBL14672557;BDBM92356;AOB6865;DTXSID50694251;BCP01900;EX-A1079;BDBM50243389;s2745;ZINC42856088;AKOS015994559;BCP9000519;CCG-269591;CS-3122;ES-0004;SB19267;NCGC00346677-01;NCGC00346677-07;2,6-PYRIDINEDIAMINE, N6-[2-[[4-(2,4-DICHLOROPHENYL)-5-(1H-IMIDAZOL-1-YL)-2-PYRIMIDINYL]AMINO]ETHYL]-3-NITRO-;AK547689;CT 98014;HY-13076;FT-0711479;Y0328;CHIR 98014, >=98% (HPLC);Q27075963;N*6*-{2-[4-(2,4-Dichloro-phenyl)-5-imidazol-1-yl-pyrimidin-2-ylamino]-ethyl}-3-nitro-pyridine-2,6-diamine;N~6~-(2-{[4-(2,4-Dichlorophenyl)-5-(1H-imidazol-1-yl)pyrimidin-2-yl]amino}ethyl)-3-nitropyridine-2,6-diamine;N2-(2-((4-(2,4-dichlorophenyl)-5-(1H-imidazol-1-yl)pyrimidin-2-yl)amino)ethyl)-5-nitropyridine-2,6-diamine;n2-(2-(4-(2,4-dichlorophenyl)-5-(1h-imidazol-1-yl) pyrimidin-2-ylamino)ethyl)-5-nitropyridine-2,6-diamine;N2-(2-(4-(2,4-dichlorophenyl)-5-(1H-imidazol-1-yl)pyrimidin-2-ylamino)ethyl)-5-nitropyridine-2,6-diamine",Inhibitor of GSK-3 kinases
9956119,https://pubchem.ncbi.nlm.nih.gov/compound/9956119,CHIR99021,"CHIR-99021;252917-06-9;CHIR99021;CHIR 99021;CT99021;CT-99021;CT 99021;GSK-3 Inhibitor XVI;UNII-234CMT4GK4;CHIR-911;6-[2-[4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-ylamino]ethylamino]pyridine-3-carbonitrile;CHIR-99021 (CT99021);6-((2-((4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-yl)amino)ethyl)amino)nicotinonitrile;C22H18Cl2N8;234CMT4GK4;CHEMBL412142;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;AK311166;6-[[2-[[4-(2,4-Dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)-2-pyrimidinyl]amino]ethyl]amino]-3-pyridinecarbonitrile;3-Pyridinecarbonitrile, 6-((2-((4-(2,4-dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)-2-pyrimidinyl)amino)ethyl)amino)-;3-PYRIDINECARBONITRILE, 6-[[2-[[4-(2,4-DICHLOROPHENYL)-5-(5-METHYL-1H-IMIDAZOL-2-YL)-2-PYRIMIDINYL]AMINO]ETHYL]AMINO]-;CHIR 911;AQGNHMOJWBZFQQ-UHFFFAOYSA-N;6-[(2-([4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino)ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;65C;Kinome_3785;cc-59;SCHEMBL151139;BIFK0014;GTPL8014;TB4423-GMP;CHEBI:91091;CTK4F5391;KS-00000XOW;AOB3866;DTXSID90179931;EX-A535;QCR-164;SYN5163;ZX-AFC000324;BCPP000285;HMS3295O15;BCP01901;2318AH;ABP000490;BDBM50325983;s1263;ZINC29053046;AKOS015904410;AKOS026750421;AM81240;BCP9000520;CCG-269402;CS-0181;KIN0002408;SB19266;CHIR-99021,CT99021;NCGC00250379-01;NCGC00250379-03;NCGC00250379-09;NCGC00250379-21;6-[2-[[4-(2,4-dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)pyrimidin-2-yl]amino]ethylamino]pyridine-3-carbonitrile;AC-25532;AS-16523;HY-10182;SC-62210;CHIR99021, >=98% (HPLC);FT-0700271;A25048;S-7733;CHIR99021(CT99021)/CT-99021;J-015915;J-518185;BRD-K16189898-001-02-9;BRD-K16189898-001-04-5;BRD-K16189898-001-09-4;BRD-K16189898-001-10-2;BRD-K16189898-001-11-0;BRD-K16189898-001-15-1;Q27075965;6-[2-[4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidaz;[2-[[4-(2,4-Dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)-2-pyrimidinyl]amino]ethyl]amino]-3-pyridinecarbonitrile;3-Pyridinecarbonitrile,6-[[2-[[4-(2,4-dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)-2-pyrimidinyl]amino]ethyl]amino]-;6-(2-(4-(2,4-dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-ylamino)ethylamino)nicotinonitrile;6-[(2-{[4-(2,4-dichlorophenyl) -5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol -2-yl)-pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)-pyrimidin-2-yl]amino}ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino }ethyl)amino]pyridine-3-carbonitrile;6-[(2-{[4-(2,4-dichlorophenyl)-5-(4-methylimidazol-2-yl)pyrimidin-2-yl]amino}ethyl)amino]pyridine-3 -carbonitrile;6-[[2-[[4-(2,4-Dichlorophenyl)-5-(5 -methyl-1H-imidazol-2-yl)-2-pyrimidinyl]amino]ethyl]amino]-3-pyridinecarbonitrile;6-[2-[[4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-yl]amino]ethylamino]pyridine-3-carbonitrile;6-[2-[[4-(2,4-Dichlorophenyl)-5-(5-methyl-2-imidazolyl)-2-pyrimidinyl]amino]ethylamino]-3-pyridinecarbonitrile;6-{2-[4-(2,4-dichloro-phenyl)-5-(4-methyl-1h-imidazol-2-yl)-pyrimidin-2-ylamino]-ethylamino}-nicotinonitrile;6-{2-[4-(2,4-dichloro-phenyl)-5-(5-methyl-1h-imidazol-2-yl)-pyrimidin-2-ylamino]-ethylamino}-nicotinonitrile;CHIR-99021|||6-[2-[[4-(2,4-Dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)pyrimidin-2-yl]amino]ethylamino]pyridine-3-carbonitrile;CT99021;6-[2-[4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-ylamino]ethylamino]pyridine-3-carbonitrile",Inhibitor of GSK3β
2764,https://pubchem.ncbi.nlm.nih.gov/compound/2764,Ciprofloxacin,,_
129236,https://pubchem.ncbi.nlm.nih.gov/compound/129236,CKI 7,,Inhibitor of Wnt
5753,https://pubchem.ncbi.nlm.nih.gov/compound/5753,Compound B,,_
11306390,https://pubchem.ncbi.nlm.nih.gov/compound/11306390,Compound E,"Compound E;gamma-Secretase Inhibitor XXI;209986-17-4;(2S)-2-([(3,5-Difluorophenyl)acetyl]amino)-N-[(3S)-1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-3-yl]propanamide;(2S)-2-{[(3,5-Difluorophenyl)acetyl]amino}-N-[(3S)-1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-3-yl]propanamide;N2-[(3,5-difluorophenyl)acetyl]-N-[(3S)-1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-3-yl]-L-alaninamide;SCHEMBL453584;CHEMBL1091498;DTXSID0042666;CTK8F8764;NOCAS_42666;C27H24F2N4O3;CHEBI:101713;CHEBI:131161;ZB1617;ZINC22309215;AKOS037435223;(S)-2-(2-(3,5-difluorophenyl)acetamido)-N-((S)-1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-benzo[e][1,4]diazepin-3-yl)propanamide;(S,S)- 2-[2-(3,5-Difluorophenyl)-acetylamino]-N-(1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-benzo[e][1,4]diazepin-3-yl)-propionamide;HY-14176;CS-0003250;J-013752;1,3-Dihydro-3beta-[[(S)-2-[(3,5-difluorophenyl)acetylamino]propionyl]amino]-1-methyl-5-phenyl-2H-1,4-benzodiazepine-2-one;N(2)-[(3,5-difluorophenyl)acetyl]-N-[(3S)-1-methyl-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-3-yl]-L-alaninamide;N-[(1S)-2-[[(3S)-2,3-Dihydro-1-methyl-2-oxo-5-phenyl-1H-1,4-benzodiazepin-3-yl]amino]-1-methyl-2-oxoethyl]-3,5-difluorobenzeneacetamide",Inhibitor of the Notch signaling
442972,https://pubchem.ncbi.nlm.nih.gov/compound/442972,Cyclopamine,,Inhibitor of the Smoothened (SMO)
5458428,https://pubchem.ncbi.nlm.nih.gov/compound/5458428,Cytochalasin D,,_
24154,https://pubchem.ncbi.nlm.nih.gov/compound/24154,D-Galactosamine,,_
6419753,https://pubchem.ncbi.nlm.nih.gov/compound/6419753,D4476,,Inhibitor of the CK1
5311272,https://pubchem.ncbi.nlm.nih.gov/compound/5311272,DAPT,"dapt;208255-80-5;DAPT (GSI-IX);GSI-IX;gamma-Secretase Inhibitor IX;(S)-tert-butyl 2-((S)-2-(2-(3,5-difluorophenyl)acetamido)propanamido)-2-phenylacetate;CHEBI:86193;tert-butyl (2S)-2-[[(2S)-2-[[2-(3,5-difluorophenyl)acetyl]amino]propanoyl]amino]-2-phenylacetate;N-[N-(3,5-difluorophenacetyl)-L-alanyl]-S-phenylglycine tert-butyl ester;N-[N-(3,5-Difluorophenacetyl-L-alanyl)]-S-phenylglycine t-Butyl Ester;GSIIX;PubChem22436;DAPT,GSI-IX;DAPT;;LY-374973;DAPT - GSI-IX;N-[N-(3,5-Difluorophenacetyl)-L-alanyl]-S-phenylglycine t-butyl ester;InSolution&trade; gamma-Secretase Inhibitor IX;MLS006010075;CHEMBL255682;QCR-29;SCHEMBL1360313;TB2634-GMP;KS-00000SRB;DTXSID00415519;EX-A324;C23H26F2N2O4;DWJXYEABWRJFSP-XOBRGWDASA-N;HMS3413L17;HMS3677L17;AOB33372;EBD16444;Glycine, N-[2-(3,5-difluorophenyl)acetyl]-L-alanyl-2-phenyl-, 1,1-dimethylethyl ester, (2S)-;ZINC1549363;ABP000317;MFCD04974585;s2215;AKOS024457209;CCG-264944;CS-0264;SB19494;MRF-0000012;NCGC00167803-03;(3,5-Difluorophenylacetyl)-Ala-Phg-OtBu;AC-23163;AN-37124;AS-19399;HY-13027;SC-94298;SMR004701228;AB0033805;LS-191073;D4257;FT-0700262;SW219339-1;X7572;W-5319;AB01566837_01;J-013656;J-524356;Q27158972;(3,5-Difluorophenylacetyl)-L-alanyl-L-2-phenylglycine tert-Butyl Ester;N-[N-(3,5-difluorophenacetyl-L-alanyl)]-S-phenylglycine tert-butyl ester;N-[N-(3,5-difluorophenylacetyl)-L-alanyl]-(S)-phenylglycine t-butyl ester;(2S)-N-[(3,5-Difluorophenyl)acetyl]-L-alanyl-2-phenyl]glycine 1,1-dimethylethyl ester;(2S)-N-[(3,5-Difluorophenyl)acetyl]-L-alanyl-2-phenylglycine 1,1-dimethylethyl ester;N-[(3,5-Difluorophenyl)acetyl]-[l-alanyl-2-phenyl]glycine-1,1-dimethylethyl ester;N-[2-(3,5-Difluorophenyl)acetyl]-L-alanyl-L-(2-phenyl)glycine tert-butyl ester;N-[N-(3,5-difluorophenacetyl)-L-alanyl]-(S)-phenylglycine tert-butyl ester;;N-[N-(3,5-difluorophenylacetyl)-L-alanyl]-(2S)-2-phenylglycine tert-butyl ester;;N-[N-(3,5-difluorophenylacetyl)-L-alanyl]-(S)-phenylglycine t-butyl ester;;N-[N-(3,5-difluorophenylacetyl)-L-alanyl]-(S)-phenylglycine tert-butyl ester;;N-[N-(3,5-difluorophenylacetyl)-L-alanyl]-L-phenylglycine tert-butyl ester;;N-{N-[2-(3,5-Difluorophenyl)acetyl]-(S)-alanyl}- (S)-phenylglycine tert-butyl ester;tert-butyl (2S)-({N-[(3,5-difluorophenyl)acetyl]-L-alanyl}amino)(phenyl)acetate;(S)-{(S)-2-[2-(3,5-Difluoro-phenyl)-acetylamino]-propionylamino}-phenyl-acetic acid tert-butyl ester;t-butyl (2s)-2-[[(2s)-2-[[2-(3,5-difluorophenyl)acetyl]amino]propanoyl]amino]-2-phenylacetate;tert-butyl (2R)-[((2S)-2-{[(3,5-difluorophenyl)acetyl]aMino}propanoyl)aMino](phenyl)ethanoate",Inhibitor of γ-secretase
9934146,https://pubchem.ncbi.nlm.nih.gov/compound/9934146,db-cAMP,,CAMP agonist
5743,https://pubchem.ncbi.nlm.nih.gov/compound/5743,Dexamethasone,,Activator of glucocorticoid pathway
3033,https://pubchem.ncbi.nlm.nih.gov/compound/3033,Diclofenac,,Inhibitor of the Cyclooxygenase-2
512874,https://pubchem.ncbi.nlm.nih.gov/compound/512874,Dilauroyl phosphatidylcholine,,Agonist of the liver receptor homologue-1
50997747,https://pubchem.ncbi.nlm.nih.gov/compound/50997747,DMH1,"DMH-1;1206711-16-1;DMH1;4-[6-(4-propan-2-yloxyphenyl)pyrazolo[1,5-a]pyrimidin-3-yl]quinoline;DMH 1;CHEBI:86289;4-[6-[4-(1-Methylethoxy)phenyl]pyrazolo[1,5-a]pyrimidin-3-yl]-quinoline;4-(6-{4-[(propan-2-yl)oxy]phenyl}pyrazolo[1,5-a]pyrimidin-3-yl)quinoline;CHEMBL2385597;SCHEMBL14671947;BDBM36354;AOB4088;DTXSID60679195;SYN5094;HMS3653K11;BCP09856;EX-A2049;s7146;ZINC62260292;DMH1, >=98% (HPLC);AKOS024457987;quinoline, 4-[6-[4-(1-methylethoxy)phenyl]pyrazolo[1,5-a]pyrimidin-3-yl]-;CCG-268407;CS-3210;SB19483;NCGC00371039-08;AK547089;AS-16458;DA-34786;HY-12273;FT-0755960;SW220065-1;Y1886;J-004378;Q27159056;4-(6-(4-isopropoxyphenyl)pyrazolo[1,5-a]pyrimidin- 3-yl)quinoline;4-[6-[4-(1-Methylethoxy)phenyl]pyra zolo[1,5-a]pyrimidin-3-yl]-quinoline",Inhibitor of the BMP
11524144,https://pubchem.ncbi.nlm.nih.gov/compound/11524144,Dorsomorphin,"dorsomorphin;866405-64-3;6-(4-(2-(Piperidin-1-yl)ethoxy)phenyl)-3-(pyridin-4-yl)pyrazolo[1,5-a]pyrimidine;Compound C;BML-275;AMPK Inhibitor, Compound C;6-[4-(2-Piperidin-1-ylethoxy)phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine;CHEMBL478629;CHEBI:78510;4-(6-{4-[2-(piperidin-1-yl)ethoxy]phenyl}pyrazolo[1,5-a]pyrimidin-3-yl)pyridine;6-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-3-(pyridin-4-yl)pyrazolo[1,5-a]pyrimidine;Dorsomorphin (Compound C);AMPK Inhibitor;BML-275 free base;Dorsomorphin(BML-275);InSolution&trade; AMPK Inhibitor, Compound C;UNII-10K52CIC1Z;SCHEMBL463155;10K52CIC1Z;BML275;GTPL4907;QCR-60;CTK5J7339;KS-00000QIT;AOB3605;Dorsomorphin, >=98% (HPLC);EX-A616;DTXSID401006988;HMS3229A20;HMS3673K07;BCP06649;ANW-67560;BDBM50262685;HY-13418A;MFCD08705402;s7840;ZINC13829435;AKOS005255631;ACN-048480;CCG-206817;CS-2487;DB08597;MCULE-1245787291;SB19028;6-[4-(2-Piperidin-1-yl-ethoxy)-phenyl)]-3-pyridin-4-yl-pyrrazolo[1,5-a]-pyrimidine;NCGC00165869-01;NCGC00165869-02;NCGC00165869-03;NCGC00165869-23;AC-27419;AK-88052;AS-56360;AX8237195;B3252;D5394;FT-0700383;A11970;A841757;BRD-K54233340-300-01-0;Q27077101;C516138000;4-(6-{4-[2-(Piperidin-1-yl)ethoxy]phenyl}pyrazolo[1,5-alpha]pyrimidin-3-yl)pyridine;6-[4-(2-piperidin-1-ylethoxy)phenyl]-3-pyridin-4-yl-pyrazolo[1,5-a]pyrimidine;6-[4-[2-(1-piperidinyl)ethoxy]phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine;BML-275|||Compound C|||6-[4-(2-Piperidin-1-ylethoxy)phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine","Inhibitor of ALK2, ALK3, ALK6, and AMPK"
73087,https://pubchem.ncbi.nlm.nih.gov/compound/73087,DZNep,"3-Deazaneplanocin;3-Deazaneplanocin A;102052-95-9;3-Deazaneplanocin,DZNep;(1s,2r,5r)-5-(4-amino-1h-imidazo[4,5-c]pyridin-1-yl)-3-(hydroxymethyl)cyclopent-3-ene-1,2-diol;UNII-544SH4020S;CHEMBL154745;544SH4020S;3-Deaza-neplanocin;c^Neplanocin A;(1S,2R,5R)-5-(4-aminoimidazo[4,5-c]pyridin-1-yl)-3-(hydroxymethyl)cyclopent-3-ene-1,2-diol;3-Deazaneplanocin A (DZNep) hydrochloride;3-Cyclopentene-1,2-diol,5-(4-amino-1H-imidazo[4,5-c]pyridin-1-yl)-3-(hydroxymethyl)-, (1S,2R,5R)-;3-Deazaneplanocin-A;3-Deazaneplanocin A (DZNep;SCHEMBL863851;SCHEMBL12280736;CTK4A0628;DTXSID30144562;AVS-4275;3238AH;ABP000454;BDBM50096906;ZINC21290121;AKOS005146283;CS-0357;SB19350;AC-27393;HY-10442;SC-25094;W-5529;BRD-K77791657-001-01-1;Q15410156;3-Deazaneplanocin/DZNep/NSC617989/DZNepNSC617989;(-)-1-[(1R,4R,5S)-3-(Hydroxymethyl)-4,5-dihydroxy-2-cyclopenten-1-yl]4-aminoimidazo[4,5-c]pyridine;3-Cyclopentene-1,2-diol, 5-(4-amino-1H-imidazo(4,5-c)pyridiny-1-yl)-3-(hydroxymethyl)-, (1S-(alpha,2alpha,5beta))-;3-Cyclopentene-1,2-diol, 5-(4-amino-1H-imidazo[4,5-c]pyridin-1-yl)-3-(hydroxymethyl)-, (1S,2R,5R)-",Inhibitot of histone EZH2 lysine methyltransferase
1400,https://pubchem.ncbi.nlm.nih.gov/compound/1400,EI 275,,Inhibitor of Src-family kinase 
118987042,https://pubchem.ncbi.nlm.nih.gov/compound/118987042,Epiblastin A,,Inhibitor of the casein kinase 1 alpha
56962336,https://pubchem.ncbi.nlm.nih.gov/compound/56962336,EPZ004777,"EPZ004777;1338466-77-5;EPZ 004777;EPZ-004777;1-(3-((((2R,3S,4R,5R)-5-(4-Amino-7H-pyrrolo[2,3-d]pyrimidin-7-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl)(isopropyl)amino)propyl)-3-(4-(tert-butyl)phenyl)urea;CHEMBL2169919;7-{5-[(3-{[(4-Tert-Butylphenyl)carbamoyl]amino}propyl)(Propan-2-Yl)amino]-5-Deoxy-Beta-D-Ribofuranosyl}-7h-Pyrrolo[2,3-D]pyrimidin-4-Amine;WXRGFPHDRFQODR-ICLZECGLSA-N;0QK;1-[3-[[(2R,3S,4R,5R)-5-(4-aminopyrrolo[2,3-d]pyrimidin-7-yl)-3,4-dihydroxyoxolan-2-yl]methyl-propan-2-ylamino]propyl]-3-(4-tert-butylphenyl)urea;GTPL7377;SCHEMBL9274416;DTXSID30719178;CHEBI:124920;C28H41N7O4;EX-A1764;2397AH;ABP001131;BDBM50396023;Daclatasvir (BMS790052 pound(c);s7353;ZINC89469833;AKOS022185751;CCG-269958;CS-2326;SB19224;NCGC00356803-12;AC-27388;HY-15227;SC-83236;FT-0771208;SW219207-1;Q27077205;3-[3-({[(2R,3S,4R,5R)-5-{4-amino-7H-pyrrolo[2,3-d]pyrimidin-7-yl}-3,4-dihydroxyoxolan-2-yl]methyl}(propan-2-yl)amino)propyl]-1-(4-tert-butylphenyl)urea;7-[5-Deoxy-5-[[3-[[[[4-(1,1-dimethylethyl)phenyl]amino]carbonyl]amino]propyl](1-methylethyl)amino]-?-D-ribofuranosyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine;7-[5-Deoxy-5-[[3-[[[[4-(1,1-dimethylethyl)phenyl]amino]carbonyl]amino]propyl](1-methylethyl)amino]-beta-D-ribofuranosyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine",Inhibitor of H3K79 histone methyltransferase DOT1L
36462,https://pubchem.ncbi.nlm.nih.gov/compound/36462,Etoposide,,_
